bio1,bio12,tconmean,lenferr,lenroadr,urbr,popdi,numazr,redre,coorx,coory,fnat,frob,nocom,noreg,areagis_ha,popde,shdi
11.1,850,20.2,0,2.099737441,0.096997691,0.20242915,2.8,12069,387266,5013598,0,0.147172949,Grosso,Piemonte,432.9605124,231,1.128988746
12,809,20.9,0.180204363,1.503389454,0.155257586,0.1509299,5.82,10293,420563,5000441,0.31,0.164905528,Lauriano,Piemonte,1428.997719,102,1.56162067
12.1,854,21.35,0,2.981378514,0.184899846,0.180646241,9.2,10766,399407,5004525,0,0.009767076,Leini,Piemonte,3243.548558,383,0.934021784
11.2,852,20.2,0,2.045687088,0.044609665,0.079429735,3.67,13929,390358,5019469,0.14,0.068815848,Levone,Piemonte,539.1215726,88,1.078540705
11,857.5,20.2,0,1.596201567,0.058962264,0.060817547,2.35,12972,406833,5033125,0,0.128429642,Loranzè,Piemonte,419.1435563,249,1.550494838
12.375,742,20.8,0,2.036984054,0.021367521,0.037688442,10.11,8879,414007,4972920,0,0,Isolabella,Piemonte,477.1605074,88,0.22122537
9.566666667,902.6666667,19.2,0,1.328492185,0.003584229,0.390547264,7.42,9828,401286,5033598,0.2,0.002143817,Issiglio,Piemonte,550.4217119,74,0.676570966
11.6,853.5,20.6,0.221355328,3.400305271,0.012586949,0.020224337,4.24,15200,413292,5033974,0.1,0.035934568,Ivrea,Piemonte,3010.751134,795,1.85060103
11.6,845,20.6,0,2.354651442,0.011695906,0.204374057,11.98,11343,383574,5004036,0.38,0.053966249,La Cassa,Piemonte,1203.534764,123,1.504734729
12.875,804.75,21.55,0,3.501770595,0.297107115,0.071395528,5.09,11642,395540,4978633,0,0.004721369,La Loggia,Piemonte,1279.288408,535,1.157849199
11.7,848,20.9,0,1.56441692,0.019569472,0.104477612,4.79,9596,403621,5018290,0,0.234743748,Lusigliè,Piemonte,525.8531023,107,1.109038826
11.5,861,20.6,0,3.595075455,0.03525641,0.112704918,2.48,12116,422460,5022363,0.2,0.27755865,Maglione,Piemonte,631.2914743,80,1.458318765
11.96,798.8,21.02,0,2.687352516,0.038154392,0.407563025,3.91,11252,411779,4990822,0,0.162185926,Marentino,Piemonte,1125.933944,117,1.268065576
